ID,Title
Gata1 (mouse),Gata1 (mouse)_TRANSFAC_JASPAR_PWMs
Tcfcp2l1 (mouse),Tcfcp2l1 (mouse)_TRANSFAC_JASPAR_PWMs
Stat3 (mouse),Stat3 (mouse)_TRANSFAC_JASPAR_PWMs
TP63 (human),TP63 (human)_TRANSFAC_JASPAR_PWMs
NFE2L2 (human),NFE2L2 (human)_TRANSFAC_JASPAR_PWMs
MZF1 (human),MZF1 (human)_TRANSFAC_JASPAR_PWMs
MYC (mouse),MYC (mouse)_TRANSFAC_JASPAR_PWMs
POU2F1 (human),POU2F1 (human)_TRANSFAC_JASPAR_PWMs
RUNX1 (mouse),RUNX1 (mouse)_TRANSFAC_JASPAR_PWMs
IRF1 (human),IRF1 (human)_TRANSFAC_JASPAR_PWMs
YY1 (human),YY1 (human)_TRANSFAC_JASPAR_PWMs
Mycn (mouse),Mycn (mouse)_TRANSFAC_JASPAR_PWMs
SNAI2 (human),SNAI2 (human)_TRANSFAC_JASPAR_PWMs
FOS (human),FOS (human)_TRANSFAC_JASPAR_PWMs
SREBF1 (mouse),SREBF1 (mouse)_TRANSFAC_JASPAR_PWMs
Myb (mouse),Myb (mouse)_TRANSFAC_JASPAR_PWMs
POU1F1 (human),POU1F1 (human)_TRANSFAC_JASPAR_PWMs
HIF1A (human),HIF1A (human)_TRANSFAC_JASPAR_PWMs
RORB (human),RORB (human)_TRANSFAC_JASPAR_PWMs
INSM1 (human),INSM1 (human)_TRANSFAC_JASPAR_PWMs
ESR2 (mouse),ESR2 (mouse)_TRANSFAC_JASPAR_PWMs
WT1 (human),WT1 (human)_TRANSFAC_JASPAR_PWMs
EIF4EBP1 (human),EIF4EBP1 (human)_TRANSFAC_JASPAR_PWMs
NFYB (mouse),NFYB (mouse)_TRANSFAC_JASPAR_PWMs
FOXO3 (human),FOXO3 (human)_TRANSFAC_JASPAR_PWMs
Nr2e3 (mouse),Nr2e3 (mouse)_TRANSFAC_JASPAR_PWMs
EGR1 (mouse),EGR1 (mouse)_TRANSFAC_JASPAR_PWMs
TEAD4 (human),TEAD4 (human)_TRANSFAC_JASPAR_PWMs
Pax5 (mouse),Pax5 (mouse)_TRANSFAC_JASPAR_PWMs
NR1H2 (human),NR1H2 (human)_TRANSFAC_JASPAR_PWMs
RREB1 (human),RREB1 (human)_TRANSFAC_JASPAR_PWMs
NR1I2 (human),NR1I2 (human)_TRANSFAC_JASPAR_PWMs
GABPA (mouse),GABPA (mouse)_TRANSFAC_JASPAR_PWMs
CBFB (human),CBFB (human)_TRANSFAC_JASPAR_PWMs
CTCF (human),CTCF (human)_TRANSFAC_JASPAR_PWMs
ETV4 (mouse),ETV4 (mouse)_TRANSFAC_JASPAR_PWMs
REST (human),REST (human)_TRANSFAC_JASPAR_PWMs
TEAD2 (human),TEAD2 (human)_TRANSFAC_JASPAR_PWMs
BCL6 (human),BCL6 (human)_TRANSFAC_JASPAR_PWMs
RUNX2 (mouse),RUNX2 (mouse)_TRANSFAC_JASPAR_PWMs
RXRA (human),RXRA (human)_TRANSFAC_JASPAR_PWMs
SMAD3 (human),SMAD3 (human)_TRANSFAC_JASPAR_PWMs
MYC (human),MYC (human)_TRANSFAC_JASPAR_PWMs
TEAD1 (human),TEAD1 (human)_TRANSFAC_JASPAR_PWMs
HNF1A (human),HNF1A (human)_TRANSFAC_JASPAR_PWMs
NKX3-1 (human),NKX3-1 (human)_TRANSFAC_JASPAR_PWMs
PPARA (human),PPARA (human)_TRANSFAC_JASPAR_PWMs
GABPA (human),GABPA (human)_TRANSFAC_JASPAR_PWMs
RELA (mouse),RELA (mouse)_TRANSFAC_JASPAR_PWMs
MYOG (human),MYOG (human)_TRANSFAC_JASPAR_PWMs
CACYBP (human),CACYBP (human)_TRANSFAC_JASPAR_PWMs
USF2 (human),USF2 (human)_TRANSFAC_JASPAR_PWMs
SRF (human),SRF (human)_TRANSFAC_JASPAR_PWMs
Pax6 (human),Pax6 (human)_TRANSFAC_JASPAR_PWMs
USF1 (mouse),USF1 (mouse)_TRANSFAC_JASPAR_PWMs
JUN (mouse),JUN (mouse)_TRANSFAC_JASPAR_PWMs
NHLH1 (human),NHLH1 (human)_TRANSFAC_JASPAR_PWMs
SMAD4 (mouse),SMAD4 (mouse)_TRANSFAC_JASPAR_PWMs
RARA (human),RARA (human)_TRANSFAC_JASPAR_PWMs
THRA (human),THRA (human)_TRANSFAC_JASPAR_PWMs
FOXA3 (human),FOXA3 (human)_TRANSFAC_JASPAR_PWMs
Klf4 (mouse),Klf4 (mouse)_TRANSFAC_JASPAR_PWMs
NFATC3 (human),NFATC3 (human)_TRANSFAC_JASPAR_PWMs
VDR (human),VDR (human)_TRANSFAC_JASPAR_PWMs
ELF3 (human),ELF3 (human)_TRANSFAC_JASPAR_PWMs
TBP (human),TBP (human)_TRANSFAC_JASPAR_PWMs
ATF1 (human),ATF1 (human)_TRANSFAC_JASPAR_PWMs
SP3 (human),SP3 (human)_TRANSFAC_JASPAR_PWMs
JDP2 (human),JDP2 (human)_TRANSFAC_JASPAR_PWMs
NR2C2 (human),NR2C2 (human)_TRANSFAC_JASPAR_PWMs
GATA1 (human),GATA1 (human)_TRANSFAC_JASPAR_PWMs
ETS1 (mouse),ETS1 (mouse)_TRANSFAC_JASPAR_PWMs
Pdx1 (mouse),Pdx1 (mouse)_TRANSFAC_JASPAR_PWMs
FOXA2 (human),FOXA2 (human)_TRANSFAC_JASPAR_PWMs
FOS (mouse),FOS (mouse)_TRANSFAC_JASPAR_PWMs
MIB2 (human),MIB2 (human)_TRANSFAC_JASPAR_PWMs
NR2F1 (human),NR2F1 (human)_TRANSFAC_JASPAR_PWMs
TLX1::NFIC (human),TLX1::NFIC (human)_TRANSFAC_JASPAR_PWMs
Sox5 (mouse),Sox5 (mouse)_TRANSFAC_JASPAR_PWMs
Tal1::Gata1 (mouse),Tal1::Gata1 (mouse)_TRANSFAC_JASPAR_PWMs
CREB1 (mouse),CREB1 (mouse)_TRANSFAC_JASPAR_PWMs
HMGA1 (human),HMGA1 (human)_TRANSFAC_JASPAR_PWMs
CRTC3 (human),CRTC3 (human)_TRANSFAC_JASPAR_PWMs
MYCN (human),MYCN (human)_TRANSFAC_JASPAR_PWMs
NR2F1 (mouse),NR2F1 (mouse)_TRANSFAC_JASPAR_PWMs
NR5A1 (human),NR5A1 (human)_TRANSFAC_JASPAR_PWMs
NR5A2 (human),NR5A2 (human)_TRANSFAC_JASPAR_PWMs
TFAP2A (human),TFAP2A (human)_TRANSFAC_JASPAR_PWMs
RORA 2 (human),RORA 2 (human)_TRANSFAC_JASPAR_PWMs
NFAT2 (human),NFAT2 (human)_TRANSFAC_JASPAR_PWMs
RXR::RAR DR5 (human),RXR::RAR DR5 (human)_TRANSFAC_JASPAR_PWMs
MIR210 (human),MIR210 (human)_TRANSFAC_JASPAR_PWMs
POU2F2 (human),POU2F2 (human)_TRANSFAC_JASPAR_PWMs
SREBF2 (human),SREBF2 (human)_TRANSFAC_JASPAR_PWMs
NRF1 (human),NRF1 (human)_TRANSFAC_JASPAR_PWMs
PPARG (human),PPARG (human)_TRANSFAC_JASPAR_PWMs
SP1 (mouse),SP1 (mouse)_TRANSFAC_JASPAR_PWMs
IRF2 (mouse),IRF2 (mouse)_TRANSFAC_JASPAR_PWMs
IKZF1 (mouse),IKZF1 (mouse)_TRANSFAC_JASPAR_PWMs
ETV4 (human),ETV4 (human)_TRANSFAC_JASPAR_PWMs
IRF9 (human),IRF9 (human)_TRANSFAC_JASPAR_PWMs
PDX1 (human),PDX1 (human)_TRANSFAC_JASPAR_PWMs
SP4 (human),SP4 (human)_TRANSFAC_JASPAR_PWMs
SNAI1 (human),SNAI1 (human)_TRANSFAC_JASPAR_PWMs
TFAP2D (human),TFAP2D (human)_TRANSFAC_JASPAR_PWMs
SMAD3 (mouse),SMAD3 (mouse)_TRANSFAC_JASPAR_PWMs
HLF (human),HLF (human)_TRANSFAC_JASPAR_PWMs
KLF5 (human),KLF5 (human)_TRANSFAC_JASPAR_PWMs
FOXA2 (mouse),FOXA2 (mouse)_TRANSFAC_JASPAR_PWMs
SPIB (human),SPIB (human)_TRANSFAC_JASPAR_PWMs
STAT1 (mouse),STAT1 (mouse)_TRANSFAC_JASPAR_PWMs
FOXF1 (mouse),FOXF1 (mouse)_TRANSFAC_JASPAR_PWMs
NR5A2 (mouse),NR5A2 (mouse)_TRANSFAC_JASPAR_PWMs
ZNF148 (human),ZNF148 (human)_TRANSFAC_JASPAR_PWMs
ELK1 (human),ELK1 (human)_TRANSFAC_JASPAR_PWMs
CREM (human),CREM (human)_TRANSFAC_JASPAR_PWMs
XBP1 (human),XBP1 (human)_TRANSFAC_JASPAR_PWMs
RXRA::VDR (human),RXRA::VDR (human)_TRANSFAC_JASPAR_PWMs
Lhx3 (mouse),Lhx3 (mouse)_TRANSFAC_JASPAR_PWMs
KLF4 (human),KLF4 (human)_TRANSFAC_JASPAR_PWMs
SOX10 (mouse),SOX10 (mouse)_TRANSFAC_JASPAR_PWMs
FOXO3A (human),FOXO3A (human)_TRANSFAC_JASPAR_PWMs
ARNT (human),ARNT (human)_TRANSFAC_JASPAR_PWMs
LOC135440 (human),LOC135440 (human)_TRANSFAC_JASPAR_PWMs
SPI1 (mouse),SPI1 (mouse)_TRANSFAC_JASPAR_PWMs
NRF1 (mouse),NRF1 (mouse)_TRANSFAC_JASPAR_PWMs
IRF2 (human),IRF2 (human)_TRANSFAC_JASPAR_PWMs
RUNX1 (human),RUNX1 (human)_TRANSFAC_JASPAR_PWMs
E2F4 (human),E2F4 (human)_TRANSFAC_JASPAR_PWMs
MIR138 (human),MIR138 (human)_TRANSFAC_JASPAR_PWMs
PRDM1 (human),PRDM1 (human)_TRANSFAC_JASPAR_PWMs
SP3 (mouse),SP3 (mouse)_TRANSFAC_JASPAR_PWMs
T (mouse),T (mouse)_TRANSFAC_JASPAR_PWMs
POU2F2 (mouse),POU2F2 (mouse)_TRANSFAC_JASPAR_PWMs
GATA2 (human),GATA2 (human)_TRANSFAC_JASPAR_PWMs
EGR1 (human),EGR1 (human)_TRANSFAC_JASPAR_PWMs
Arnt (mouse),Arnt (mouse)_TRANSFAC_JASPAR_PWMs
CBEPA (human),CBEPA (human)_TRANSFAC_JASPAR_PWMs
ZNF281 (human),ZNF281 (human)_TRANSFAC_JASPAR_PWMs
POU3F1 (human),POU3F1 (human)_TRANSFAC_JASPAR_PWMs
Zfx (mouse),Zfx (mouse)_TRANSFAC_JASPAR_PWMs
ZNF354C (human),ZNF354C (human)_TRANSFAC_JASPAR_PWMs
Nobox (mouse),Nobox (mouse)_TRANSFAC_JASPAR_PWMs
NFE2L1 (human),NFE2L1 (human)_TRANSFAC_JASPAR_PWMs
RELB (human),RELB (human)_TRANSFAC_JASPAR_PWMs
CPEB1 (human),CPEB1 (human)_TRANSFAC_JASPAR_PWMs
PITX1 (human),PITX1 (human)_TRANSFAC_JASPAR_PWMs
CREB1 (human),CREB1 (human)_TRANSFAC_JASPAR_PWMs
KLF13 (human),KLF13 (human)_TRANSFAC_JASPAR_PWMs
STAT5B (mouse),STAT5B (mouse)_TRANSFAC_JASPAR_PWMs
PURA (human),PURA (human)_TRANSFAC_JASPAR_PWMs
CBEPB (mouse),CBEPB (mouse)_TRANSFAC_JASPAR_PWMs
PGR (human),PGR (human)_TRANSFAC_JASPAR_PWMs
Pax4 (mouse),Pax4 (mouse)_TRANSFAC_JASPAR_PWMs
REL (human),REL (human)_TRANSFAC_JASPAR_PWMs
TBX5 (mouse),TBX5 (mouse)_TRANSFAC_JASPAR_PWMs
CBX5 (human),CBX5 (human)_TRANSFAC_JASPAR_PWMs
MAX (human),MAX (human)_TRANSFAC_JASPAR_PWMs
NR1H3 (human),NR1H3 (human)_TRANSFAC_JASPAR_PWMs
AHR (mouse),AHR (mouse)_TRANSFAC_JASPAR_PWMs
Pax2 (mouse),Pax2 (mouse)_TRANSFAC_JASPAR_PWMs
SPI1 (human),SPI1 (human)_TRANSFAC_JASPAR_PWMs
NR3C1 (human),NR3C1 (human)_TRANSFAC_JASPAR_PWMs
RORA 1 (human),RORA 1 (human)_TRANSFAC_JASPAR_PWMs
NFKB1 (mouse),NFKB1 (mouse)_TRANSFAC_JASPAR_PWMs
Esrrb (mouse),Esrrb (mouse)_TRANSFAC_JASPAR_PWMs
SND1 (mouse),SND1 (mouse)_TRANSFAC_JASPAR_PWMs
ARID3A (mouse),ARID3A (mouse)_TRANSFAC_JASPAR_PWMs
Prrx2 (mouse),Prrx2 (mouse)_TRANSFAC_JASPAR_PWMs
JUN (human),JUN (human)_TRANSFAC_JASPAR_PWMs
GTF2I (human),GTF2I (human)_TRANSFAC_JASPAR_PWMs
FOXA1 (mouse),FOXA1 (mouse)_TRANSFAC_JASPAR_PWMs
TEAD2 (mouse),TEAD2 (mouse)_TRANSFAC_JASPAR_PWMs
Pou5f1 (mouse),Pou5f1 (mouse)_TRANSFAC_JASPAR_PWMs
NKX2-8 (human),NKX2-8 (human)_TRANSFAC_JASPAR_PWMs
NCOA1 (human),NCOA1 (human)_TRANSFAC_JASPAR_PWMs
FOXF2 (human),FOXF2 (human)_TRANSFAC_JASPAR_PWMs
FOXF1 (human),FOXF1 (human)_TRANSFAC_JASPAR_PWMs
TBP (mouse),TBP (mouse)_TRANSFAC_JASPAR_PWMs
RELA (human),RELA (human)_TRANSFAC_JASPAR_PWMs
Sox2 (mouse),Sox2 (mouse)_TRANSFAC_JASPAR_PWMs
TCFAP2A (human),TCFAP2A (human)_TRANSFAC_JASPAR_PWMs
IRF8 (human),IRF8 (human)_TRANSFAC_JASPAR_PWMs
PLAG1 (human),PLAG1 (human)_TRANSFAC_JASPAR_PWMs
HNF1B (mouse),HNF1B (mouse)_TRANSFAC_JASPAR_PWMs
RXRA (mouse),RXRA (mouse)_TRANSFAC_JASPAR_PWMs
SRF (mouse),SRF (mouse)_TRANSFAC_JASPAR_PWMs
En1 (mouse),En1 (mouse)_TRANSFAC_JASPAR_PWMs
NME2 (human),NME2 (human)_TRANSFAC_JASPAR_PWMs
FOXI1 (human),FOXI1 (human)_TRANSFAC_JASPAR_PWMs
NFE2 (human),NFE2 (human)_TRANSFAC_JASPAR_PWMs
CBEPA (mouse),CBEPA (mouse)_TRANSFAC_JASPAR_PWMs
HOXA5 (human),HOXA5 (human)_TRANSFAC_JASPAR_PWMs
Nkx2-5 (mouse),Nkx2-5 (mouse)_TRANSFAC_JASPAR_PWMs
NFIC (human),NFIC (human)_TRANSFAC_JASPAR_PWMs
RBPJ (human),RBPJ (human)_TRANSFAC_JASPAR_PWMs
MIR133B (human),MIR133B (human)_TRANSFAC_JASPAR_PWMs
NFIL3 (human),NFIL3 (human)_TRANSFAC_JASPAR_PWMs
SND1 (human),SND1 (human)_TRANSFAC_JASPAR_PWMs
LTF (human),LTF (human)_TRANSFAC_JASPAR_PWMs
PCBP1 (human),PCBP1 (human)_TRANSFAC_JASPAR_PWMs
LEF1 (human),LEF1 (human)_TRANSFAC_JASPAR_PWMs
NR1H2::RXRA (human),NR1H2::RXRA (human)_TRANSFAC_JASPAR_PWMs
RBPJ (mouse),RBPJ (mouse)_TRANSFAC_JASPAR_PWMs
MAPK14 (human),MAPK14 (human)_TRANSFAC_JASPAR_PWMs
EWSR1-FLI1 (human),EWSR1-FLI1 (human)_TRANSFAC_JASPAR_PWMs
STAT5B (human),STAT5B (human)_TRANSFAC_JASPAR_PWMs
STAT3 (human),STAT3 (human)_TRANSFAC_JASPAR_PWMs
HNRNPK (human),HNRNPK (human)_TRANSFAC_JASPAR_PWMs
HINFP (human),HINFP (human)_TRANSFAC_JASPAR_PWMs
APEX1 (human),APEX1 (human)_TRANSFAC_JASPAR_PWMs
ESR1 (human),ESR1 (human)_TRANSFAC_JASPAR_PWMs
CRX (human),CRX (human)_TRANSFAC_JASPAR_PWMs
MYC::MAX (human),MYC::MAX (human)_TRANSFAC_JASPAR_PWMs
HNF4A (human),HNF4A (human)_TRANSFAC_JASPAR_PWMs
POU2F1 (mouse),POU2F1 (mouse)_TRANSFAC_JASPAR_PWMs
YY1 (mouse),YY1 (mouse)_TRANSFAC_JASPAR_PWMs
USF1 (human),USF1 (human)_TRANSFAC_JASPAR_PWMs
ELK4 (human),ELK4 (human)_TRANSFAC_JASPAR_PWMs
MTF1 (human),MTF1 (human)_TRANSFAC_JASPAR_PWMs
MZF1 5-13 (human),MZF1 5-13 (human)_TRANSFAC_JASPAR_PWMs
TAL1::TCF3 (human),TAL1::TCF3 (human)_TRANSFAC_JASPAR_PWMs
EBF1 (mouse),EBF1 (mouse)_TRANSFAC_JASPAR_PWMs
GLI2 (human),GLI2 (human)_TRANSFAC_JASPAR_PWMs
NFYB (human),NFYB (human)_TRANSFAC_JASPAR_PWMs
NFYA (mouse),NFYA (mouse)_TRANSFAC_JASPAR_PWMs
CEBPE (human),CEBPE (human)_TRANSFAC_JASPAR_PWMs
MYOD1 (human),MYOD1 (human)_TRANSFAC_JASPAR_PWMs
GATA6 (human),GATA6 (human)_TRANSFAC_JASPAR_PWMs
TFAP2C (human),TFAP2C (human)_TRANSFAC_JASPAR_PWMs
ELK1 (mouse),ELK1 (mouse)_TRANSFAC_JASPAR_PWMs
PLAU (human),PLAU (human)_TRANSFAC_JASPAR_PWMs
CPEB1 (mouse),CPEB1 (mouse)_TRANSFAC_JASPAR_PWMs
SMARCA2 (human),SMARCA2 (human)_TRANSFAC_JASPAR_PWMs
CACYBP (mouse),CACYBP (mouse)_TRANSFAC_JASPAR_PWMs
RUNX2 (human),RUNX2 (human)_TRANSFAC_JASPAR_PWMs
E2F1 (mouse),E2F1 (mouse)_TRANSFAC_JASPAR_PWMs
PRDM1 (mouse),PRDM1 (mouse)_TRANSFAC_JASPAR_PWMs
MYOG (mouse),MYOG (mouse)_TRANSFAC_JASPAR_PWMs
MXI1 (human),MXI1 (human)_TRANSFAC_JASPAR_PWMs
Hand1::Tcfe2a (mouse),Hand1::Tcfe2a (mouse)_TRANSFAC_JASPAR_PWMs
GATA3 (human),GATA3 (human)_TRANSFAC_JASPAR_PWMs
MZF1 1-4 (human),MZF1 1-4 (human)_TRANSFAC_JASPAR_PWMs
SAMD9L (human),SAMD9L (human)_TRANSFAC_JASPAR_PWMs
SREBF1 (human),SREBF1 (human)_TRANSFAC_JASPAR_PWMs
TCF3 (human),TCF3 (human)_TRANSFAC_JASPAR_PWMs
NFATC3 (mouse),NFATC3 (mouse)_TRANSFAC_JASPAR_PWMs
THRB (human),THRB (human)_TRANSFAC_JASPAR_PWMs
MYB (human),MYB (human)_TRANSFAC_JASPAR_PWMs
POU1F1 (mouse),POU1F1 (mouse)_TRANSFAC_JASPAR_PWMs
JUND (human),JUND (human)_TRANSFAC_JASPAR_PWMs
BRCA1 (human),BRCA1 (human)_TRANSFAC_JASPAR_PWMs
ATF2 (human),ATF2 (human)_TRANSFAC_JASPAR_PWMs
NFYA (human),NFYA (human)_TRANSFAC_JASPAR_PWMs
CEBPB (human),CEBPB (human)_TRANSFAC_JASPAR_PWMs
ELF5 (mouse),ELF5 (mouse)_TRANSFAC_JASPAR_PWMs
SOX10 (human),SOX10 (human)_TRANSFAC_JASPAR_PWMs
TBX5 (human),TBX5 (human)_TRANSFAC_JASPAR_PWMs
E2F1 (human),E2F1 (human)_TRANSFAC_JASPAR_PWMs
AP1 (mouse),AP1 (mouse)_TRANSFAC_JASPAR_PWMs
IKZF1 (human),IKZF1 (human)_TRANSFAC_JASPAR_PWMs
ETS1 (human),ETS1 (human)_TRANSFAC_JASPAR_PWMs
HIVEP1 (human),HIVEP1 (human)_TRANSFAC_JASPAR_PWMs
AHR (human),AHR (human)_TRANSFAC_JASPAR_PWMs
Myf (human),Myf (human)_TRANSFAC_JASPAR_PWMs
NFATC2 (human),NFATC2 (human)_TRANSFAC_JASPAR_PWMs
SOX9 (human),SOX9 (human)_TRANSFAC_JASPAR_PWMs
PITX2 (human),PITX2 (human)_TRANSFAC_JASPAR_PWMs
GFI1 (human),GFI1 (human)_TRANSFAC_JASPAR_PWMs
SOX2 (human),SOX2 (human)_TRANSFAC_JASPAR_PWMs
HNF4A (mouse),HNF4A (mouse)_TRANSFAC_JASPAR_PWMs
ATF4 (human),ATF4 (human)_TRANSFAC_JASPAR_PWMs
FOXD1 (human),FOXD1 (human)_TRANSFAC_JASPAR_PWMs
FOXM1 (human),FOXM1 (human)_TRANSFAC_JASPAR_PWMs
IRF8 (mouse),IRF8 (mouse)_TRANSFAC_JASPAR_PWMs
TCF4 (human),TCF4 (human)_TRANSFAC_JASPAR_PWMs
NR3C1 (mouse),NR3C1 (mouse)_TRANSFAC_JASPAR_PWMs
MIZF (human),MIZF (human)_TRANSFAC_JASPAR_PWMs
NR4A2 (human),NR4A2 (human)_TRANSFAC_JASPAR_PWMs
Nkx3-2 (mouse),Nkx3-2 (mouse)_TRANSFAC_JASPAR_PWMs
REPIN1 (human),REPIN1 (human)_TRANSFAC_JASPAR_PWMs
FOXC1 (human),FOXC1 (human)_TRANSFAC_JASPAR_PWMs
HMGA1 (mouse),HMGA1 (mouse)_TRANSFAC_JASPAR_PWMs
CRTC1 (human),CRTC1 (human)_TRANSFAC_JASPAR_PWMs
ETS2 (human),ETS2 (human)_TRANSFAC_JASPAR_PWMs
KLF11 (human),KLF11 (human)_TRANSFAC_JASPAR_PWMs
SRY (human),SRY (human)_TRANSFAC_JASPAR_PWMs
CBEPB (human),CBEPB (human)_TRANSFAC_JASPAR_PWMs
TFAP2A (mouse),TFAP2A (mouse)_TRANSFAC_JASPAR_PWMs
REL (mouse),REL (mouse)_TRANSFAC_JASPAR_PWMs
Spz1 (mouse),Spz1 (mouse)_TRANSFAC_JASPAR_PWMs
ZFHX3 (human),ZFHX3 (human)_TRANSFAC_JASPAR_PWMs
PPARG::RXRA (mouse),PPARG::RXRA (mouse)_TRANSFAC_JASPAR_PWMs
NR5A1 (mouse),NR5A1 (mouse)_TRANSFAC_JASPAR_PWMs
ESR2 (human),ESR2 (human)_TRANSFAC_JASPAR_PWMs
HIF1A (mouse),HIF1A (mouse)_TRANSFAC_JASPAR_PWMs
FEV (human),FEV (human)_TRANSFAC_JASPAR_PWMs
E2F6 (human),E2F6 (human)_TRANSFAC_JASPAR_PWMs
Arnt::Ahr (mouse),Arnt::Ahr (mouse)_TRANSFAC_JASPAR_PWMs
FOXL1 (human),FOXL1 (human)_TRANSFAC_JASPAR_PWMs
SP1 (human),SP1 (human)_TRANSFAC_JASPAR_PWMs
LEF1 (mouse),LEF1 (mouse)_TRANSFAC_JASPAR_PWMs
UBTF (human),UBTF (human)_TRANSFAC_JASPAR_PWMs
HNF1B (human),HNF1B (human)_TRANSFAC_JASPAR_PWMs
ZBTB7A (human),ZBTB7A (human)_TRANSFAC_JASPAR_PWMs
STAT1 (human),STAT1 (human)_TRANSFAC_JASPAR_PWMs
ZBTB16 (human),ZBTB16 (human)_TRANSFAC_JASPAR_PWMs
FOXJ1 (human),FOXJ1 (human)_TRANSFAC_JASPAR_PWMs
TP53 (human),TP53 (human)_TRANSFAC_JASPAR_PWMs
NFKB1 (human),NFKB1 (human)_TRANSFAC_JASPAR_PWMs
MYOD1 (mouse),MYOD1 (mouse)_TRANSFAC_JASPAR_PWMs
TP53 (mouse),TP53 (mouse)_TRANSFAC_JASPAR_PWMs
FOXA1 (human),FOXA1 (human)_TRANSFAC_JASPAR_PWMs
Sox17 (mouse),Sox17 (mouse)_TRANSFAC_JASPAR_PWMs
MEF2A (human),MEF2A (human)_TRANSFAC_JASPAR_PWMs
FOXO3A (mouse),FOXO3A (mouse)_TRANSFAC_JASPAR_PWMs
SMAD4 (human),SMAD4 (human)_TRANSFAC_JASPAR_PWMs
MAFB (human),MAFB (human)_TRANSFAC_JASPAR_PWMs
Evi1 (mouse),Evi1 (mouse)_TRANSFAC_JASPAR_PWMs
JUND (mouse),JUND (mouse)_TRANSFAC_JASPAR_PWMs
RORB (mouse),RORB (mouse)_TRANSFAC_JASPAR_PWMs
NFIA (human),NFIA (human)_TRANSFAC_JASPAR_PWMs
IRF7 (human),IRF7 (human)_TRANSFAC_JASPAR_PWMs
HOXD9 (human),HOXD9 (human)_TRANSFAC_JASPAR_PWMs
PBX1 (human),PBX1 (human)_TRANSFAC_JASPAR_PWMs
CEBPD (human),CEBPD (human)_TRANSFAC_JASPAR_PWMs
